magnetizability:V Temperature:K Current:A 
 8.9250e-02  371.210 1935.9
 8.8650e-02  371.210 1936.2
 8.8320e-02  371.210 1936.6
 8.8790e-02  371.180 1936.9
 8.8300e-02  371.180 1937.2
 8.8330e-02  371.150 1937.5
 8.8620e-02  371.150 1937.8
 8.8120e-02  371.150 1938.2
 8.8470e-02  371.130 1938.5
 8.8610e-02  371.130 1938.8
 8.8460e-02  371.100 1939.1
 8.9010e-02  371.100 1939.4
 8.8370e-02  371.080 1939.8
 8.8590e-02  371.050 1940.1
 8.8710e-02  371.050 1940.4
 8.8350e-02  371.030 1940.7
 8.8960e-02  371.030 1941.0
 8.8620e-02  371.030 1941.4
 8.8640e-02  371.000 1941.7
 8.9010e-02  371.000 1942.0
 8.8520e-02  370.970 1942.3
 8.8860e-02  370.970 1942.6
 8.8930e-02  370.950 1943.0
 8.8270e-02  370.920 1943.3
 8.8980e-02  370.920 1943.6
 8.8680e-02  370.900 1943.9
 8.8530e-02  370.900 1944.2
 8.9150e-02  370.870 1944.6
 8.8540e-02  370.840 1944.9
 8.8690e-02  370.840 1945.2
 8.8990e-02  370.820 1945.5
 8.8500e-02  370.820 1945.8
 8.9190e-02  370.790 1946.2
 8.8700e-02  370.770 1946.5
 8.8680e-02  370.770 1946.8
 8.9440e-02  370.740 1947.1
 8.8790e-02  370.740 1947.4
 8.8730e-02  370.710 1947.8
 8.9300e-02  370.690 1948.1
 8.8850e-02  370.690 1948.4
 8.9250e-02  370.660 1948.7
 8.9420e-02  370.660 1949.0
 8.8840e-02  370.640 1949.4
 8.9630e-02  370.610 1949.7
 8.9340e-02  370.610 1950.0
 8.9000e-02  370.560 1950.3
 8.9630e-02  370.560 1950.6
 8.9070e-02  370.530 1951.0
 8.8780e-02  370.510 1951.3
 8.9500e-02  370.510 1951.6
 8.8790e-02  370.480 1951.9
 8.9030e-02  370.480 1952.2
 8.9470e-02  370.450 1952.6
 8.8680e-02  370.430 1952.9
 8.9270e-02  370.430 1953.2
 8.9310e-02  370.400 1953.5
 8.9030e-02  370.400 1953.8
 8.9710e-02  370.350 1954.2
 8.9630e-02  370.320 1954.5
 8.9090e-02  370.320 1954.8
 8.9820e-02  370.300 1955.1
 8.9590e-02  370.300 1955.4
 8.9280e-02  370.270 1955.8
 8.9820e-02  370.250 1956.1
 8.9530e-02  370.250 1956.4
 8.9500e-02  370.190 1956.7
 9.0150e-02  370.190 1957.0
 8.9520e-02  370.170 1957.4
 8.9490e-02  370.140 1957.7
 9.0030e-02  370.140 1958.0
 8.9600e-02  370.120 1958.3
 8.9580e-02  370.120 1958.6
 9.0210e-02  370.060 1959.0
 8.9890e-02  370.040 1959.3
 8.9830e-02  370.040 1959.6
 9.0200e-02  370.010 1959.9
 8.9870e-02  370.010 1960.2
 9.0260e-02  369.960 1960.6
 9.0560e-02  369.930 1960.9
